textid,Words (split by space),anger,disgust,fear,joy,sad,surprise
1,senator carl krueger thinks ipods can kill you,0.1357,0.182,0.0295,0.1626,0.2078,0.2823
2,who is prince frederic von anhalt,0.0893,0.1271,0.0325,0.2562,0.2222,0.2726
3,prestige has magic touch,0.0,0.0,0.0385,0.4151,0.1851,0.3613
4,study female seals picky about mates,0.0438,0.0697,0.076,0.3761,0.0913,0.3431
5,no e book for harry potter vii,0.1067,0.0907,0.0717,0.2092,0.2702,0.2516
6,blair apologises over friendly fire inquest,0.1101,0.0373,0.2653,0.0057,0.4943,0.0873
7,vegetables may boost brain power in older adults,0.0,0.0,0.0926,0.4444,0.0,0.463
8,afghan forces retake town that was overrun by taliban,0.1318,0.0421,0.2907,0.0602,0.4114,0.0639
9,skip the showers male sweat turns women on study says,0.0258,0.1408,0.0289,0.123,0.0294,0.6521
10,made in china irks some burberry shoppers,0.0953,0.0935,0.1559,0.3093,0.08,0.266
11,britain to restrict immigrants from new eu members,0.1283,0.0585,0.3123,0.112,0.2673,0.1216
12,canadian breakthrough offers hope on autism,0.0882,0.0365,0.1767,0.2364,0.1233,0.3388
13,russia to strengthen its military muscle,0.1118,0.0937,0.2488,0.2258,0.1699,0.1501
14,alzheimer s drugs offer no help study finds,0.1136,0.0771,0.1634,0.289,0.1869,0.17
15,uk police slammed over terror raid,0.154,0.1074,0.3998,0.0617,0.2077,0.0695
16,no rejects police state claim,0.1208,0.083,0.3452,0.0929,0.1462,0.2119
17,oprah announces new book club pick,0.0461,0.0902,0.0972,0.4435,0.1392,0.1838
18,smith can t be buried until hearing,0.1008,0.0206,0.1649,0.0412,0.3118,0.3608
19,african nation hopes whoopi can help,0.0382,0.022,0.1229,0.3107,0.18,0.3261
20,tourism lags in bush s hometown,0.1218,0.0988,0.2035,0.2903,0.1436,0.142
21,air france klm profit rises,0.1596,0.0538,0.1981,0.3004,0.1623,0.1259
22,au regrets sudan s expulsion of un envoy,0.0571,0.0388,0.0818,0.3744,0.0993,0.3486
23,taiwan s mr clean indicted steps down,0.1583,0.0536,0.2445,0.101,0.2848,0.1577
24,martian life could have evaded detection by viking landers,0.1176,-0.0,0.0588,-0.0,0.1176,0.706
25,turner pays for boston bombing,0.1007,0.0784,0.2213,0.3026,0.1616,0.1354
26,serena misses bangalore tournament,0.0361,0.0359,0.1241,0.2939,0.2557,0.2543
27,attorneys point fingers in fight between ryan o neal and son,0.1045,0.0339,0.1303,0.3067,0.1332,0.2914
28,pledge i was abused in frat hazing,0.0319,0.0476,0.1664,0.1921,0.1051,0.4568
29,whistle blowing web site exposed,0.1442,0.0971,0.195,0.2118,0.1613,0.1906
30,growing unarmed battalion in qaeda army is using internet to get the message out,0.13,0.1092,0.2184,0.2514,0.1897,0.1014
31,royal rescues presidential hopes with commanding performance,0.0262,0.0404,0.0743,0.5172,0.1126,0.2293
32,minister slams airlines on carbon,0.1289,0.0846,0.2004,0.2579,0.126,0.2023
33,audio slide show a love story lasting years,0.0486,0.0417,0.0922,0.3722,0.172,0.2733
34,fully cooked chicken strips recalled,0.0604,0.0288,0.1684,0.4721,0.0993,0.171
35,madonna adoption bid approved,0.0,0.0312,0.0284,0.6419,0.0572,0.2414
36,rowdy fans ejected from the open,0.0417,0.0,0.0412,0.658,0.1244,0.1346
37,snow wreaks havoc in east midwest,0.0842,0.0292,0.3296,0.0254,0.2275,0.3041
38,the energy challenge exotic visions how to cool a planet maybe,0.0811,0.1013,0.1683,0.2318,0.1133,0.3042
